_id,chief_complaint_id,diagnosis_id,most_common,common_peds,life_or_limb_threatening
1594,113,128,,,1
1599,113,215,1,1,1
1601,113,308,1,1,0
1605,113,409,,1,
1609,113,469,1,1,0
1610,113,492,,,1
1611,113,546,1,,1
1619,114,103,,,1
1620,114,322,,,1
1621,114,363,1,,1
1622,114,371,1,,0
1623,114,372,1,1,1
1624,114,374,,1,0
1626,114,446,,1,0
1627,114,477,,1,0
1628,114,483,1,,0
1629,114,488,,,1
1630,114,565,,,0
1631,114,588,,1,0
1632,114,653,,,0
1633,114,661,,,1
1635,115,133,1,,0
1636,115,146,1,,1
1637,115,183,,1,1
1638,115,350,1,,0
1639,115,564,,1,0
1640,115,775,1,,1
1641,116,39,1,1,0
1642,116,45,,,0
1643,116,126,1,1,0
1644,116,130,,,1
1645,116,168,1,,
1646,116,185,1,,1
1647,116,212,1,,1
1648,116,213,1,1,0
1649,116,287,1,1,0
1650,116,291,1,,0
1651,116,347,,,0
1652,116,371,,,0
1653,116,373,,,1
1654,116,375,1,1,1
1655,116,377,1,,0
1656,116,384,1,1,0
1657,116,387,1,1,0
1658,116,441,,,0
1659,116,442,,1,1
1661,116,483,1,,0
1662,116,541,,1,1
1663,116,587,,1,1
1666,116,732,1,1,
1668,116,833,,1,1
1669,117,199,,1,0
1672,70,592,1,1,
1674,118,133,1,,0
1675,118,140,1,1,0
1676,118,191,1,1,0
1677,118,203,,,0
1678,118,302,1,1,0
1679,118,321,,,0
1680,118,532,1,,0
1681,118,542,1,,0
1682,118,613,,,0
1684,118,689,,1,1
1685,118,724,1,1,0
1686,2,513,1,0,0
1687,7,42,0,0,0
1689,36,536,1,1,0
1690,36,790,1,1,0
1691,36,793,0,1,0
1693,41,251,0,0,1
1694,41,704,1,1,0
1695,46,38,1,1,1
1696,47,768,1,1,0
1698,49,721,0,1,1
1699,50,38,0,1,1
1700,53,542,1,1,0
1702,57,662,0,0,0
1703,58,542,0,0,0
1704,58,662,0,0,0
1705,61,531,0,0,0
1706,64,364,1,0,0
1707,66,165,0,0,
1708,68,531,0,0,0
1709,68,571,0,1,0
1710,72,513,1,0,0
1711,72,637,1,1,1
1712,79,595,1,1,
1713,79,604,1,1,
1714,79,614,0,0,0
1717,82,612,0,1,0
1718,84,704,1,1,0
1719,88,617,1,0,1
1720,88,38,0,1,1
1721,89,18,1,0,0
1722,93,531,0,0,0
1723,94,551,1,0,0
1724,98,531,0,0,0
1725,98,842,0,0,0
1726,103,670,1,1,1
1727,105,516,1,0,0
1728,113,165,1,0,
1730,114,833,0,0,1
1731,116,652,0,1,1
1732,116,653,0,0,0
1733,116,783,0,0,0
1734,118,662,0,0,0
1735,82,849,1,0,0
1736,83,849,1,0,0
1737,3,849,0,0,0
1738,15,848,1,1,1
1739,28,848,1,1,1
1740,93,252,0,1,1
1741,119,16,1,1,0
1743,120,218,0,0,1
1746,120,572,1,1,
1748,120,674,1,1,
1749,120,731,1,1,
1751,120,768,1,1,0
1753,120,790,1,1,0
1754,120,531,0,0,0
1755,120,252,0,0,1
1756,121,483,0,0,0
1757,121,551,1,0,0
1758,121,372,1,1,1
1760,121,23,1,0,1
1762,121,280,1,1,0
1764,122,848,1,1,1
1765,122,281,0,1,0
1766,122,372,1,1,1
1767,122,551,0,0,0
1768,122,23,1,0,1
1769,122,565,0,0,0
1771,121,851,1,0,0
1772,122,851,1,0,0
1773,52,852,0,0,0
1774,68,852,0,0,0
1775,116,852,0,0,0
1776,123,446,0,1,0
1777,123,852,0,1,0
1780,123,126,0,1,0
1781,123,117,1,1,0
1782,123,21,1,0,1
1783,123,225,0,0,1
1784,123,46,1,1,0
1785,123,197,1,0,1
1786,123,788,1,0,0
1787,123,172,0,0,1
1788,123,213,1,1,0
1790,123,424,0,0,0
1791,123,212,1,0,1
1793,55,853,0,1,0
1794,15,207,1,0,0
1795,28,128,0,0,1
1796,28,205,1,1,1
1798,28,372,1,1,1
1801,125,21,1,0,1
1803,125,39,1,1,0
1804,125,45,0,1,0
1805,125,71,0,1,0
1806,125,126,0,1,0
1807,125,168,1,0,
1808,125,171,0,0,0
1809,125,212,1,0,1
1810,125,225,0,0,1
1812,125,451,0,1,0
1813,125,377,1,0,0
1815,125,653,0,0,0
1816,19,377,0,0,0
1818,126,5,1,0,0
1819,126,26,1,1,1
1820,126,38,1,0,1
1821,126,37,0,0,1
1822,126,531,0,0,0
1823,127,54,1,1,0
1824,127,159,0,1,1
1825,127,177,1,1,0
1826,127,192,0,1,0
1827,127,210,1,1,0
1828,127,280,1,1,0
1829,127,388,0,1,0
1830,127,399,0,1,1
1831,127,462,0,1,1
1832,127,536,1,1,0
1833,127,585,0,1,1
1834,127,730,0,1,1
1835,127,755,0,1,1
1836,127,790,1,1,0
1837,127,793,1,1,0
1838,84,854,0,1,0
1840,128,54,1,1,0
1841,128,56,0,1,1
1842,128,159,0,1,1
1843,128,177,1,1,0
1844,128,192,1,1,0
1845,128,287,1,1,0
1846,128,399,0,1,1
1847,128,462,0,1,1
1848,128,536,1,1,0
1849,128,690,0,1,1
1850,128,687,0,1,1
1851,128,736,0,1,1
1852,128,755,0,1,1
1853,128,793,1,1,0
1856,129,38,1,1,1
1857,129,65,1,1,0
1858,129,69,0,0,1
1859,129,114,0,1,0
1860,129,170,1,0,0
1861,129,185,1,0,1
1862,129,855,0,1,1
1864,130,568,1,1,1
1865,130,38,1,1,1
1867,130,413,1,0,0
1868,130,715,0,0,1
1869,130,531,0,0,0
1870,130,412,0,0,0
1871,130,252,0,1,1
1872,131,118,0,1,1
1873,131,852,1,1,0
1874,131,474,1,1,0
1875,131,150,1,1,0
1876,131,155,0,0,1
1877,131,208,0,0,1
1879,131,404,0,1,1
1880,131,675,0,0,0
1881,131,743,1,0,1
1882,131,774,0,0,0
1885,114,858,0,0,0
1886,132,39,1,1,0
1887,132,205,1,0,1
1888,132,212,1,0,1
1889,132,857,0,1,0
1890,132,446,1,0,0
1891,132,451,0,1,0
1892,132,377,1,0,0
1893,132,126,0,0,0
1894,132,783,0,0,0
1895,132,45,0,1,0
1896,132,213,1,1,0
1897,132,383,1,1,1
1898,131,856,0,1,0
1899,125,852,0,1,0
1900,125,856,0,0,0
1901,125,858,0,0,0
1902,52,856,0,0,0
1903,133,860,0,1,0
1904,133,17,1,1,0
1905,133,69,0,0,1
1907,133,208,0,0,1
1908,133,441,0,0,0
1909,133,442,1,1,1
1910,133,455,1,1,0
1911,133,474,1,1,0
1912,133,666,1,1,1
1913,133,674,0,1,
1914,133,694,0,0,0
1915,133,512,0,1,1
1916,133,714,0,0,1
1917,133,743,0,0,1
1918,133,773,0,0,1
1919,133,786,0,0,1
1920,133,327,0,1,0
1921,133,692,0,0,1
1922,67,862,1,0,0
1925,67,152,1,1,1
1926,67,153,1,0,0
1927,41,736,0,0,1
1929,134,128,1,1,1
1930,134,135,0,0,1
1931,134,136,0,0,1
1932,134,137,0,0,0
1933,134,142,0,0,1
1934,134,144,1,1,1
1935,134,146,1,0,1
1936,134,251,1,1,1
1937,134,329,1,1,1
1938,134,337,1,1,1
1939,134,441,0,0,0
1940,134,442,0,1,1
1941,134,642,0,0,0
1942,134,735,1,1,1
1943,134,736,1,1,1
1944,134,131,0,0,1
1945,134,812,0,0,1
1946,134,833,1,1,1
1948,104,864,0,0,0
1949,104,131,0,0,1
1950,104,812,0,0,1
1951,89,865,1,1,0
1952,67,865,0,1,0
1953,87,861,0,0,1
1954,135,441,0,0,0
1955,135,462,1,1,1
1956,135,536,1,1,0
1957,135,474,1,1,0
1958,135,731,1,1,
1959,135,572,1,1,
1960,135,704,1,1,0
1961,135,239,0,0,1
1962,135,833,0,0,1
1963,135,387,1,1,0
1964,135,859,1,1,0
1965,135,442,0,0,1
1966,135,106,0,0,1
1967,135,337,0,0,1
1968,135,822,1,1,0
1970,41,868,1,0,0
1972,41,870,0,1,1
1973,41,873,0,0,1
1974,41,874,0,0,1
1975,134,866,0,0,1
1976,134,868,1,0,0
1977,134,869,0,1,1
1978,134,870,0,0,1
1979,134,873,0,0,1
1980,134,873,0,1,1
1981,115,867,0,0,0
1982,115,866,0,0,1
1983,115,865,0,1,0
1984,115,868,0,0,0
1985,115,869,0,1,1
1986,115,873,0,1,1
1987,15,868,0,0,0
1989,15,870,0,0,1
1992,87,873,0,1,1
1993,87,875,0,1,1
1994,94,867,0,0,0
1995,112,867,1,0,0
1996,104,868,0,0,0
1998,111,869,0,1,1
1999,111,107,0,0,1
2000,128,870,0,1,1
2001,49,870,0,1,1
2002,112,870,0,1,1
2004,67,872,0,0,1
2005,115,872,0,0,1
2006,112,873,0,1,1
2007,22,874,0,1,1
2008,112,874,0,1,1
2009,29,875,0,0,1
2010,61,875,0,0,1
2011,131,875,0,0,1
2013,88,876,0,0,1
2014,29,876,0,0,1
2015,73,67,1,0,1
2016,73,467,0,0,
2017,123,875,0,0,1
2018,123,875,0,0,1
2019,123,876,0,0,1
2021,81,877,1,1,0
2022,136,878,0,1,
2023,136,19,1,1,0
2024,136,45,1,1,0
2025,136,51,1,1,0
2026,136,117,1,1,0
2027,136,119,0,0,
2028,136,225,1,1,1
2029,136,303,0,0,0
2032,136,415,0,0,
2033,136,452,1,1,0
2034,136,548,1,1,
2035,136,569,0,0,0
2036,136,574,0,0,
2037,136,717,1,0,0
2038,136,732,0,0,
2039,26,879,1,1,0
2040,61,881,1,1,0
2041,137,31,0,0,1
2042,137,83,0,0,1
2043,137,106,0,0,1
2044,137,107,1,1,1
2045,137,128,1,1,1
2046,137,144,0,0,1
2047,137,184,1,1,0
2048,137,239,1,1,1
2049,137,250,0,0,1
2050,137,251,1,1,1
2051,137,365,1,0,1
2052,137,462,1,1,1
2053,137,641,0,0,1
2054,137,710,0,0,1
2055,137,735,1,0,1
2056,137,736,0,0,1
2057,137,762,0,0,1
2058,137,786,0,0,1
2059,137,833,0,0,1
2060,137,861,0,0,1
2061,137,866,0,0,1
2062,137,868,0,0,0
2063,137,869,0,0,1
2064,137,870,1,1,1
2065,137,873,0,0,1
2066,137,874,1,0,1
2067,138,69,1,1,1
2068,138,115,1,1,
2069,138,176,0,0,1
2070,138,224,0,0,1
2071,138,238,1,0,1
2072,138,260,0,0,1
2073,138,346,0,0,1
2074,138,439,0,0,1
2075,138,458,0,0,1
2077,138,493,1,1,0
2078,138,512,0,0,1
2079,138,561,1,1,1
2080,138,585,1,1,1
2081,138,832,0,0,0
2082,81,66,1,1,0
2083,139,37,1,1,1
2084,139,66,1,1,0
2085,139,741,1,1,0
2086,139,190,1,1,
2087,139,200,0,0,0
2088,139,278,0,0,0
2089,139,304,1,1,0
2090,139,336,0,0,
2091,139,396,0,0,0
2092,139,577,1,1,0
2093,139,606,0,0,1
2094,139,675,0,0,0
2095,139,728,0,0,1
2096,139,742,0,0,0
2098,139,38,1,1,1
2100,139,26,1,1,1
2101,81,890,1,1,0
2103,62,859,1,0,0
2105,84,387,0,0,0
2106,84,859,0,0,0
2107,93,387,0,0,0
2109,136,891,1,1,0
2110,95,892,1,1,1
2111,95,893,1,1,1
2112,3,892,1,1,1
2113,3,893,1,1,1
2114,81,140,1,1,0
2115,131,893,1,1,1
2116,50,893,1,1,1
2117,136,857,1,1,0
2118,62,858,1,0,0
2119,53,858,0,0,0
2120,27,858,1,0,0
2122,81,860,0,1,0
2126,144,736,1,1,1
2128,145,736,1,1,1
2129,145,83,1,1,1
2130,145,144,1,1,1
2131,145,147,0,0,1
2132,145,251,1,1,1
2133,145,344,1,1,1
2134,145,395,1,1,1
2135,145,184,1,1,0
2136,145,593,1,1,0
2137,145,710,1,1,1
2138,145,735,1,1,1
2139,145,736,1,1,1
2140,145,812,0,0,1
2141,101,881,1,1,0
2142,146,593,1,1,0
2143,146,857,1,1,0
2144,146,887,1,1,0
2145,146,878,1,1,
2146,146,51,1,1,0
2147,146,212,1,1,1
2148,146,93,1,1,0
2149,146,677,0,0,1
2150,146,676,0,0,0
2151,146,286,0,1,0
2152,146,417,0,1,1
2154,146,894,0,1,1
2155,147,95,1,0,0
2156,147,406,1,1,0
2157,147,609,1,0,0
2158,147,96,1,0,0
2159,147,655,1,1,1
2160,147,654,0,0,1
2161,147,656,0,0,1
2162,147,513,1,1,0
2163,147,89,1,0,0
2164,147,793,1,1,0
2165,147,637,1,1,1
2166,147,703,0,1,1
2167,147,829,0,0,1
2168,148,721,0,0,1
2169,148,864,0,0,0
2170,148,146,0,0,1
2171,148,201,1,0,0
2172,148,483,1,0,0
2173,148,213,0,0,0
2174,148,89,1,0,0
2175,148,609,1,0,0
2176,148,95,0,0,0
2177,148,611,1,0,0
2179,148,48,0,0,1
2180,148,187,1,1,0
2181,148,20,1,0,0
2182,146,19,1,1,0
2183,146,159,0,1,1
2184,149,895,1,0,0
2185,149,21,1,0,1
2186,149,169,1,0,0
2187,149,6,1,1,1
2188,149,347,1,1,0
2189,149,679,0,0,1
2190,149,903,1,1,0
2191,60,895,0,0,0
2192,123,895,0,0,0
2194,81,896,1,1,0
2195,150,897,1,1,1
2196,150,252,0,1,1
2197,150,551,1,0,0
2198,150,22,1,0,1
2199,150,146,1,0,1
2201,130,897,1,1,1
2202,129,897,1,1,1
2203,129,115,1,1,
2204,81,898,0,0,1
2205,149,898,1,1,1
2207,139,900,1,1,0
2208,139,901,1,1,0
2209,139,902,1,0,0
2210,81,900,1,1,0
2211,81,901,1,1,0
2213,151,773,0,0,1
2214,151,462,1,1,1
2215,151,883,1,1,0
2216,151,208,0,0,1
2217,151,786,0,0,1
2218,151,875,0,0,1
2219,151,327,1,1,0
2220,151,328,0,0,1
2221,151,512,1,1,1
2222,151,455,1,1,0
2223,151,666,1,1,1
2224,151,674,1,1,
2225,151,743,0,0,1
2226,151,833,0,0,1
2227,151,904,1,1,1
2229,29,904,0,0,1
2230,135,904,0,0,1
2231,133,905,1,1,0
2232,27,905,1,0,0
2233,81,905,1,1,0
2234,152,905,1,1,0
2235,152,896,1,1,0
2236,152,882,1,1,
2237,152,120,1,1,1
2238,152,140,1,1,0
2239,152,698,1,0,0
2240,152,728,0,1,1
2241,152,4,1,1,0
2242,151,906,0,0,0
2243,131,906,1,1,0
2244,68,906,1,1,0
2246,151,907,0,0,1
2247,139,907,0,0,1
2249,87,909,0,1,0
2250,69,909,0,0,0
2251,146,909,0,1,0
2255,109,911,1,1,0
2259,137,912,0,1,1
2260,73,921,1,0,1
2261,28,921,0,0,1
2262,77,837,0,0,1
2263,153,6,1,1,1
2264,153,34,1,0,1
2265,153,48,1,0,1
2266,153,49,1,1,1
2267,153,64,1,1,1
2268,153,84,0,0,1
2269,153,91,1,1,1
2270,153,123,0,0,1
2271,153,161,1,1,1
2272,153,217,1,1,1
2273,153,223,1,1,1
2274,153,379,1,1,1
2275,153,400,0,1,1
2276,153,416,0,1,1
2277,153,503,1,1,1
2278,153,570,0,0,1
2279,153,640,0,0,1
2280,153,669,1,0,0
2281,153,829,0,0,1
2282,153,837,0,0,1
2283,77,48,1,1,1
2284,17,387,1,1,0
2285,154,69,1,1,1
2286,154,113,0,0,1
2287,154,114,0,1,0
2288,154,115,1,1,
2289,154,439,0,0,1
2291,154,585,1,1,1
2292,154,704,1,1,0
2294,154,836,0,1,1
2295,154,855,0,1,1
2296,154,859,1,1,0
2297,154,907,0,0,1
2298,154,387,1,1,0
2300,17,704,1,1,0
2301,18,922,1,1,0
2302,155,197,1,1,1
2303,155,263,1,0,1
2304,155,257,0,0,0
2307,155,306,1,0,1
2308,155,307,1,1,0
2309,155,310,1,1,1
2310,155,450,0,0,0
2311,155,712,0,0,0
2314,155,830,1,0,0
2315,155,758,0,0,1
2316,155,841,0,0,1
2317,10,345,0,1,0
2318,156,257,0,0,0
2319,156,263,1,0,1
2320,156,306,1,1,1
2321,156,307,1,1,0
2322,156,450,1,1,0
2324,156,830,0,0,0
2325,156,310,1,1,1
2326,156,758,0,0,1
2327,156,841,0,0,1
2328,156,265,1,1,
2329,156,172,1,0,1
2331,156,379,0,1,1
2333,157,64,1,1,1
2334,157,461,1,0,0
2335,157,379,1,1,1
2336,157,332,1,0,0
2337,157,330,1,1,1
2338,157,509,1,1,1
2339,157,12,0,0,0
2341,157,148,1,1,0
2342,157,212,0,0,1
2344,9,379,1,1,1
2345,149,70,1,1,0
2346,149,15,1,0,0
2347,149,912,0,1,1
2348,149,433,0,0,0
2349,58,85,0,0,0
2350,26,85,1,0,0
2353,158,85,1,0,0
2354,158,318,1,1,0
2355,158,327,0,1,0
2356,158,352,1,1,0
2357,158,649,0,0,0
2358,158,526,1,1,
2359,158,531,1,0,0
2360,158,70,0,0,0
2361,28,923,1,1,1
2362,73,923,1,1,1
2363,159,5,1,0,0
2364,159,26,1,1,1
2365,159,37,1,1,1
2366,159,38,1,1,1
2367,159,352,1,1,0
2368,159,327,0,1,0
2369,159,189,0,1,0
2370,159,480,1,1,1
2371,159,706,0,0,0
2374,73,924,0,1,1
2375,128,924,0,0,1
2376,129,924,0,0,1
2377,160,98,1,1,
2378,160,186,1,1,0
2379,160,192,1,1,0
2380,160,193,1,1,0
2381,160,829,0,0,1
2382,160,799,1,0,0
2383,160,319,0,0,1
2384,160,879,1,1,0
2385,160,926,1,1,0
2387,73,914,0,1,1
2388,53,426,1,1,0
2389,53,386,0,0,0
2390,53,427,1,1,0
2392,53,914,0,1,1
2394,84,915,1,1,
2395,139,916,1,1,0
2396,139,917,1,1,0
2397,133,918,0,1,0
2399,52,920,1,1,0
2400,52,900,1,1,0
2401,52,902,1,0,0
2402,139,920,1,1,0
2403,162,28,1,1,0
2404,162,854,1,1,0
2405,162,387,1,1,0
2406,162,790,1,1,0
2407,162,27,1,1,0
2408,162,506,1,0,0
2409,162,664,1,1,0
2410,162,859,0,0,0
2411,160,918,0,0,0
2412,163,55,0,0,1
2413,163,340,0,1,0
2414,163,424,0,0,0
2415,163,436,1,1,1
2416,163,491,0,0,1
2417,163,830,1,0,0
2418,163,318,1,1,0
2419,163,172,1,0,1
2420,163,562,1,1,0
2422,164,20,1,1,0
2423,164,31,0,0,1
2424,164,82,1,0,0
2425,164,107,1,1,1
2426,164,146,1,0,1
2427,164,184,1,1,0
2428,164,536,1,1,0
2429,164,409,1,0,
2430,164,461,1,0,0
2431,164,812,0,0,1
2432,164,815,0,0,1
2433,164,226,0,0,1
2434,164,251,0,0,1
2435,164,736,0,0,1
2436,164,483,1,0,0
2437,164,903,0,0,0
2438,94,20,1,0,0
2439,94,145,0,1,0
2440,94,372,1,1,1
2441,94,226,1,1,1
2442,94,469,1,0,0
2444,94,337,0,0,1
2446,94,736,0,0,1
2447,164,372,1,1,1
2448,114,929,0,1,0
2449,165,330,1,1,1
2450,165,365,1,0,1
2451,165,873,1,1,1
2452,165,176,0,0,1
2453,165,107,1,1,1
2454,165,172,0,0,1
2455,165,735,1,1,1
2456,165,251,1,1,1
2457,165,736,1,1,1
2458,165,395,1,1,1
2459,165,34,0,0,1
2460,3,930,1,1,0
2461,81,931,1,0,0
2462,56,932,1,1,0
2463,56,933,1,1,0
2464,12,934,1,1,0
2465,6,934,1,1,0
2466,62,934,1,1,0
2467,35,934,1,1,0
2470,58,185,1,0,1
2471,58,510,0,0,1
2472,58,78,1,0,
2473,58,172,0,0,1
2474,58,652,0,0,1
2475,58,653,0,0,0
2476,58,377,0,0,0
2477,33,213,1,1,0
2478,170,65,1,1,0
2479,170,170,1,0,0
2480,170,185,1,0,1
2481,170,492,0,0,1
2482,170,591,0,0,0
2483,170,616,1,0,1
2484,170,585,1,1,1
2485,170,618,0,0,0
2486,170,617,1,1,1
2487,170,503,1,1,1
2488,170,372,0,1,1
2489,170,246,1,1,1
2490,170,378,1,1,1
2491,170,114,0,1,0
2492,170,885,0,1,1
2493,170,113,0,0,1
2494,170,657,0,0,1
2495,170,855,0,1,1
2496,170,924,0,1,1
2497,170,908,0,1,1
2498,7,513,1,1,0
2501,171,334,1,1,0
2503,171,542,1,1,0
2504,171,809,0,0,0
2505,171,483,0,0,0
2506,171,771,1,1,0
2507,171,934,1,1,0
2509,171,373,1,1,1
2510,171,371,1,1,0
2511,171,653,0,0,0
2513,171,652,0,0,1
2515,172,937,0,0,1
2516,172,925,1,0,1
2517,172,660,0,0,1
2518,172,568,1,1,1
2519,172,768,1,1,0
2520,172,767,0,0,0
2521,172,766,0,0,0
2522,172,474,1,1,0
2523,172,731,1,1,
2524,172,570,0,0,1
2525,172,87,1,0,0
2526,172,252,0,1,1
2527,172,145,0,1,0
2528,98,937,0,0,1
2529,173,401,1,0,0
2530,173,939,0,1,0
2531,173,139,1,0,0
2532,173,446,1,1,0
2533,173,388,1,1,0
2534,173,549,1,1,
2535,173,393,0,0,1
2536,173,394,0,0,1
2537,173,795,1,1,0
2538,173,76,0,0,0
2539,173,187,1,1,0
2540,173,1,0,0,1
2541,173,652,0,0,1
2542,173,172,0,0,1
2543,173,185,0,0,1
2545,173,411,0,0,1
2546,173,538,0,0,0
2548,174,940,1,1,0
2549,174,931,1,1,0
2550,174,248,1,1,0
2551,174,707,1,1,0
2552,174,930,1,1,0
2553,174,403,0,0,0
2554,174,741,1,1,0
2555,174,909,0,0,0
2556,174,725,0,0,0
2558,7,943,0,0,0
2559,45,943,1,0,0
2560,118,943,1,0,0
2562,154,944,0,0,1
2565,175,69,1,1,1
2566,175,113,0,0,1
2567,175,114,0,1,0
2568,175,439,0,0,1
2570,175,585,1,1,1
2571,175,859,0,0,0
2572,175,907,0,0,1
2573,175,944,0,0,1
2574,175,387,1,1,0
2575,175,885,0,1,1
2576,175,855,0,1,1
2577,175,115,1,1,
2578,175,617,0,0,1
2579,175,949,0,0,0
2580,175,687,0,0,1
2581,175,224,0,0,1
2582,69,946,1,0,0
2583,69,371,0,1,0
2584,69,213,1,0,0
2585,176,133,1,0,0
2586,176,146,1,0,1
2587,176,183,0,0,1
2588,176,322,0,0,1
2589,176,369,1,1,
2591,176,442,0,0,1
2592,176,483,1,0,0
2593,176,565,1,0,0
2594,176,757,0,0,0
2595,176,776,0,0,1
2596,176,778,1,1,1
2597,176,833,0,0,1
2598,176,946,1,0,0
2599,176,213,0,0,0
2600,176,865,0,1,0
2601,176,302,1,1,0
2602,35,947,1,1,0
2604,177,948,1,1,0
2606,177,751,1,1,0
2607,177,321,1,0,0
2608,177,613,1,0,0
2609,177,723,0,0,0
2610,177,350,0,0,0
2612,154,949,0,0,0
2613,178,113,1,0,1
2614,178,115,1,1,
2615,178,440,1,0,0
2616,178,617,1,0,1
2618,178,585,1,1,1
2619,178,832,0,0,0
2620,178,439,0,0,1
2622,178,340,0,1,0
2623,178,829,0,0,1
2624,178,768,1,1,0
2625,39,752,1,1,0
2626,50,950,1,1,0
2627,29,951,0,0,1
2628,123,951,0,0,1
2629,138,951,0,0,1
2630,88,951,0,0,1
2631,175,951,0,0,1
2632,179,347,1,1,0
2633,179,71,1,1,0
2634,179,606,0,0,1
2635,179,163,1,0,1
2636,179,951,0,0,1
2637,179,164,0,0,1
2638,179,165,1,0,
2639,179,545,0,0,0
2640,179,25,1,0,0
2641,179,447,0,0,1
2642,179,162,0,0,1
2643,179,679,0,0,1
2644,179,903,0,1,0
2645,179,895,1,1,0
2646,179,172,1,0,1
2648,180,876,1,1,1
2649,180,856,1,1,0
2650,180,852,1,1,0
2651,180,875,1,1,1
2652,180,424,1,1,0
2653,180,464,1,0,0
2654,180,534,0,0,1
2655,180,573,0,0,1
2656,180,907,0,0,1
2657,180,367,1,0,0
2658,180,126,1,1,0
2660,88,952,0,0,1
2661,20,139,1,1,0
2664,181,139,1,1,0
2665,181,401,1,0,0
2666,181,317,1,1,0
2667,181,446,1,1,0
2668,181,125,0,0,1
2669,181,697,0,0,1
2670,181,670,0,0,1
2671,181,309,1,1,0
2672,181,197,0,0,1
2675,182,4,1,0,0
2676,182,13,0,0,0
2677,173,954,0,0,1
2678,20,955,1,1,0
2679,10,955,1,1,0
2681,139,956,0,0,0
2683,173,958,1,0,1
2684,183,542,1,1,0
2685,183,960,1,1,0
2686,183,120,1,1,1
2687,183,882,1,1,
2688,183,351,1,1,0
2689,183,896,1,1,0
2691,183,883,0,1,0
2692,183,728,0,0,1
2693,183,227,0,0,
2694,183,961,0,0,1
2697,129,962,0,0,0
2698,35,963,0,1,0
2699,42,963,0,1,0
2700,125,964,0,0,0
2702,136,965,0,1,0
2703,186,966,1,1,0
2704,108,967,1,1,0
2705,109,967,1,1,0
2706,110,967,1,1,0
2708,62,968,0,1,1
2709,15,969,1,0,0
2710,136,969,1,0,0
2711,187,750,1,1,0
2712,187,881,1,1,0
2714,187,704,0,0,0
2715,187,138,1,1,0
2716,187,480,1,1,1
2717,187,553,1,1,0
2718,187,937,0,0,1
2719,187,782,1,0,0
2720,187,492,1,0,1
2721,187,126,0,0,0
2722,187,209,1,1,0
2723,187,469,0,0,0
2724,187,484,0,1,1
2725,187,698,0,0,0
2726,187,437,0,0,1
2727,110,971,1,1,0
2728,188,972,1,0,0
2729,188,25,1,0,0
2730,188,172,0,0,1
2731,188,653,1,0,0
2732,188,721,0,0,1
2734,188,364,1,0,0
2735,188,213,1,0,0
2736,188,483,0,0,0
2737,188,732,1,0,
2738,188,212,1,0,1
2739,188,199,0,0,0
2740,188,377,0,0,0
2741,189,39,1,1,0
2742,189,52,0,0,0
2743,189,876,1,1,1
2744,189,492,0,0,1
2745,189,599,1,0,
2746,189,287,1,0,0
2748,189,368,0,1,1
2749,189,914,0,1,1
2750,189,471,1,0,0
2751,189,973,0,1,1
2752,7,974,1,0,0
2753,49,974,1,0,0
2754,115,862,1,0,0
2755,115,974,1,0,0
2756,69,862,1,0,0
2757,69,974,1,0,0
2759,123,975,0,0,0
2760,156,975,0,0,0
2763,163,978,1,1,1
2764,147,978,0,0,1
2765,105,978,0,1,1
2766,105,149,1,0,0
2767,105,464,1,0,0
2768,105,236,1,0,1
2769,105,154,1,0,0
2770,105,557,0,0,0
2771,105,590,0,1,0
2772,105,290,1,0,0
2773,105,827,0,0,0
2774,105,829,0,0,1
2776,87,979,0,0,1
2777,105,979,0,0,1
2779,21,981,0,0,1
2780,28,981,0,0,1
2781,73,981,1,0,1
2782,176,983,0,0,1
2783,183,983,0,0,1
2784,35,983,0,0,1
2785,35,984,0,0,0
2788,183,985,1,1,0
2789,69,986,0,0,1
2791,10,987,1,1,0
2792,20,987,1,1,0
2793,173,988,1,1,0
2794,20,988,1,1,0
2795,66,988,1,1,0
2796,170,989,1,1,0
2797,69,989,1,1,0
2798,115,990,0,1,0
2799,2,991,1,0,0
2800,160,992,0,0,0
2801,26,992,0,0,0
2802,73,992,1,0,0
2803,129,993,1,0,0
2805,114,990,0,1,0
2806,115,994,0,0,1
2808,123,997,0,0,0
2810,171,937,0,0,1
2811,190,896,1,1,0
2812,190,358,1,1,
2813,190,714,0,0,1
2814,190,883,1,1,0
2816,190,85,0,0,0
2817,190,893,0,0,1
2818,190,999,1,1,0
2819,139,999,1,1,0
2821,191,877,1,1,0
2822,191,999,1,1,0
2823,191,707,1,1,0
2824,191,140,1,1,0
2825,191,882,1,1,
2826,191,218,0,0,1
2827,191,890,1,1,0
2828,191,920,1,1,0
2829,191,510,0,0,1
2830,191,698,1,0,0
2831,191,960,1,1,0
2832,191,189,1,1,0
2833,191,86,0,0,0
2834,191,291,0,0,0
2835,190,707,1,1,0
2836,191,930,1,1,0
2837,191,1000,1,1,0
2838,192,999,1,1,0
2839,192,707,1,1,0
2840,192,140,1,1,0
2841,192,510,0,0,1
2842,192,960,1,1,0
2843,192,930,1,1,0
2844,192,1000,1,1,0
2845,192,48,0,0,1
2846,192,217,0,0,1
2847,192,335,1,1,
2848,192,336,1,1,
2849,192,337,0,0,1
2850,193,38,0,0,1
2851,193,796,1,1,0
2852,193,189,1,1,0
2853,193,882,1,1,
2855,193,999,1,1,0
